Date,Name,Year,Letterboxd URI
2022-05-31,Swallow,2019,https://boxd.it/lA0i
2022-05-31,Pinocchio,1940,https://boxd.it/1V8C
2022-06-02,Lullaby,2022,https://boxd.it/vvUA
2022-06-03,Videodrome,1983,https://boxd.it/29uC
2022-06-04,Promising Young Woman,2020,https://boxd.it/loRE
2022-06-05,Weekend,2011,https://boxd.it/2Kzu
2022-06-06,American Beauty,1999,https://boxd.it/71Y
2022-06-06,Pitch Perfect,2012,https://boxd.it/3OsE
2022-06-07,Something Is Happening,2018,https://boxd.it/iNCe
2022-06-08,Girlhood,2014,https://boxd.it/7WyI
2022-06-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2022-06-10,Rosa,2022,https://boxd.it/zJO0
2022-06-11,Alien,1979,https://boxd.it/2awY
2022-06-11,Oh! Mammy Blue,2018,https://boxd.it/iKoI
2022-06-12,Babyteeth,2019,https://boxd.it/iWDU
2022-06-13,End of the Century,2019,https://boxd.it/lAZU
2022-06-15,Cléo from 5 to 7,1962,https://boxd.it/2agm
2022-06-16,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-06-18,The Straight Story,1999,https://boxd.it/2ass
2022-06-19,Three Times,2020,https://boxd.it/qVyq
2022-06-19,The Godfather,1972,https://boxd.it/2aNK
2022-06-20,Standard Deviation,2022,https://boxd.it/AMM4
2022-06-20,Ana by Day,2018,https://boxd.it/fwng
2022-06-21,The Number 23,2007,https://boxd.it/258C
2022-06-21,Taxi Driver,1976,https://boxd.it/2b8y
2022-06-22,Us,2019,https://boxd.it/gnV6
2022-06-23,Crash,1996,https://boxd.it/29n2
2022-06-24,The Invisible Man,2020,https://boxd.it/kWlA
2022-06-29,Through My Window,2022,https://boxd.it/uQGW
2022-06-30,Matthias & Maxime,2019,https://boxd.it/iOQ2
2022-06-30,Clicker,2022,https://boxd.it/BcSi
2022-07-01,Birdboy: The Forgotten Children,2015,https://boxd.it/cj8w
2022-07-01,Cut!,2021,https://boxd.it/v60W
2022-07-01,Haibane Renmei,2002,https://boxd.it/r2L2
2022-07-01,Paranoia Agent,2004,https://boxd.it/lPy0
2022-07-01,The Fly,1986,https://boxd.it/1YIe
2022-07-02,The Lobster,2015,https://boxd.it/7tnw
2022-07-05,Cinderella,2021,https://boxd.it/lSCY
2022-07-08,Notes on a Scandal,2006,https://boxd.it/28Zu
2022-07-09,Sauvage,2018,https://boxd.it/iNp0
