Date,Name,Year,Letterboxd URI,Rating
2022-10-30,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2022-10-31,The Apartment,1960,https://boxd.it/2aGE,3
2022-11-04,Persona,1966,https://boxd.it/29B4,5
2022-11-05,Marie Antoinette,2006,https://boxd.it/27Wa,4.5
2022-11-07,The Day of the Beast,1995,https://boxd.it/1Vyg,2.5
2022-11-10,Piggy,2022,https://boxd.it/w05y,4.5
2022-11-11,Lux Æterna,2019,https://boxd.it/m6b8,2.5
2022-11-15,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,0.5
2022-11-16,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,0.5
2022-11-16,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC,1
2022-11-17,Autumn Sonata,1978,https://boxd.it/1Rio,5
2022-11-17,Summer Stock,1950,https://boxd.it/UBm,3.5
2022-11-21,Cosmopolis,2012,https://boxd.it/H4O,3.5
2022-11-22,Fifty Shades of Grey,2015,https://boxd.it/6qLo,1.5
2022-11-22,Twilight,2008,https://boxd.it/1Zui,2
2022-11-29,Fifty Shades Freed,2018,https://boxd.it/bb5C,1
2022-11-29,Fifty Shades Darker,2017,https://boxd.it/bm2E,0.5
2022-12-04,The Princess Bride,1987,https://boxd.it/26EY,3.5
2022-12-07,The Beasts,2022,https://boxd.it/w1L6,3.5
2022-12-07,"Hello, Dolly!",1969,https://boxd.it/1OTG,4.5
2022-12-08,Alice in Wonderland,2010,https://boxd.it/1Spq,1
2022-12-10,The Shape of Water,2017,https://boxd.it/dZ5m,2
2022-12-12,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2022-12-15,Pitch Perfect,2012,https://boxd.it/3OsE,3.5
2022-12-17,Pitch Perfect 2,2015,https://boxd.it/7tNa,3.5
2022-12-20,Pitch Perfect 3,2017,https://boxd.it/bUre,2.5
2022-12-22,The Band Wagon,1953,https://boxd.it/1nCI,4.5
2022-12-24,Jane Eyre,2011,https://boxd.it/15rs,5
2022-12-26,The Young Girls of Rochefort,1967,https://boxd.it/26K8,3.5
2022-12-28,Citizen Kane,1941,https://boxd.it/71O,4
2022-12-30,The Skin I Live In,2011,https://boxd.it/99A,4
2022-12-31,Nightcrawler,2014,https://boxd.it/780m,3.5
2023-01-01,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2023-01-04,Isn't It Romantic,2019,https://boxd.it/g1jE,2
2023-01-04,Sleep Tight,2011,https://boxd.it/2GjC,3
2023-01-04,Bebe's Kids,1992,https://boxd.it/1aci,3.5
2023-01-05,Fire Island,2022,https://boxd.it/vV8C,2
2023-01-07,Pearl,2022,https://boxd.it/zPbe,4
2023-01-09,Manticore,2022,https://boxd.it/syL6,3.5
2023-01-10,Titane,2021,https://boxd.it/nlQC,3
2023-01-14,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-01-16,M3GAN,2022,https://boxd.it/jxmG,4
2023-01-18,Rebecca,1940,https://boxd.it/2aQa,4
2023-01-23,Aftersun,2022,https://boxd.it/Arw0,4
2023-01-24,An American in Paris,1951,https://boxd.it/26kY,3
2023-01-25,The Girl from the Marsh Croft,1935,https://boxd.it/4fUU,3.5
2023-01-25,Piety,2022,https://boxd.it/BjwI,4
2023-01-29,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,3
2023-01-30,The Whale,2022,https://boxd.it/tw4c,3
2023-02-04,The Water,2022,https://boxd.it/zirS,4
2023-02-13,TÁR,2022,https://boxd.it/uNIA,4
2023-02-17,Submarine,2010,https://boxd.it/H4a,4
2023-02-19,Knock at the Cabin,2023,https://boxd.it/npL2,2.5
2023-02-20,The Double Life of Véronique,1991,https://boxd.it/28va,4
2023-02-21,Million Dollar Baby,2004,https://boxd.it/2bdI,5
2023-02-22,Nowhere,1997,https://boxd.it/286E,4
2023-02-28,Tokyo Story,1953,https://boxd.it/1HuY,5
2023-03-03,Suicide Club,2001,https://boxd.it/1RkY,4
2023-03-06,Licorice Pizza,2021,https://boxd.it/qTKY,1.5
2023-03-12,Shrek 2,2004,https://boxd.it/29z8,4.5
2023-03-12,Theorem,1968,https://boxd.it/237C,4
2023-03-18,Accident,1967,https://boxd.it/2AHS,4
2023-03-20,The Menu,2022,https://boxd.it/lScm,2
2023-03-23,Serial Experiments Lain,1998,https://boxd.it/hYQE,5
2023-03-27,Barbie: Fairytopia,2005,https://boxd.it/1Quo,1
2023-03-28,Barbie Fairytopia: Mermaidia,2006,https://boxd.it/1Que,1
2023-03-29,Barbie Fairytopia: Magic of the Rainbow,2007,https://boxd.it/1Jri,1
2023-03-29,Barbie as The Princess & the Pauper,2004,https://boxd.it/1MGU,3
2023-03-30,Three Steps Above Heaven,2010,https://boxd.it/cpG,0.5
2023-04-02,Barbie and the Diamond Castle,2008,https://boxd.it/1R2K,3
2023-04-03,Bratz: Rock Angelz,2005,https://boxd.it/KkK,2
2023-04-04,Barbie in the 12 Dancing Princesses,2006,https://boxd.it/1R34,1
2023-04-05,The Idiots,1998,https://boxd.it/2amu,4.5
2023-04-06,Show Me Love,1998,https://boxd.it/1TmW,4.5
2023-04-06,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,2.5
2023-04-08,Suro,2022,https://boxd.it/vvb6,3
2023-04-09,Moulin Rouge!,2001,https://boxd.it/29wI,3.5
2023-04-10,Ghost World,2001,https://boxd.it/28Dy,3.5
2023-04-11,It's Always Fair Weather,1955,https://boxd.it/1Ikq,4
2023-04-11,Barbie as the Island Princess,2007,https://boxd.it/1Quy,1
2023-04-17,Breaking the Waves,1996,https://boxd.it/2b1W,5
2023-04-18,Xanadu,1980,https://boxd.it/1LMs,2.5
2023-04-24,Gold Diggers of 1933,1933,https://boxd.it/1iW4,3.5
2023-04-25,Barbie: A Fairy Secret,2011,https://boxd.it/lZI,2
2023-04-27,Barbie: Dolphin Magic,2017,https://boxd.it/h75K,0.5
2023-04-28,Things to Come,2016,https://boxd.it/d0wc,2.5
2023-04-29,Funeral Parade of Roses,1969,https://boxd.it/28Cg,4.5
2023-04-29,The Secret Life of Words,2005,https://boxd.it/2b1s,4
2023-04-30,Top Hat,1935,https://boxd.it/25MW,3.5
2023-05-02,Benedetta,2021,https://boxd.it/gdNQ,2
2023-05-09,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,4
2023-05-11,Strange Magic,2015,https://boxd.it/9CL2,1
2023-05-12,Red Shoes and the Seven Dwarfs,2019,https://boxd.it/hv5Y,1.5
2023-05-14,42nd Street,1933,https://boxd.it/25PQ,3.5
2023-05-15,The Hunger Games,2012,https://boxd.it/2uds,1.5
